BrandName,category,Individual_category,discounted_price,OriginalPrice (in Rs),Discount,SizeOption,ratings,Reviews
Alcis,Sports Wear,tshirts,400,799,50%,"S, M, L, XL, XXL",3.2,9
HERE&NOW,Plus Size,jeans,800,1999,60%,"26, 28, 30, 32, 34, 36, 38, 40",2.8,382
Moda Rapido,Plus Size,tops,700,1399,50%,"S, M, L, XL, XXL",3.3,361
Sangria,Plus Size,trousers,400,999,60%,"26, 28, 30, 32, 34, 36, 38",3.2,328
Ishin,Indian Wear,sarees,615,1119,45%,Onesize,3.3,316
Ishin,Indian Wear,sarees,987,1899,48%,Onesize,3.3,295
ZIYAA,Indian Wear,kurta-sets,972,2430,60%,"S, M, L, XL, XXL, 3XL",3.2,249
Sangria,Plus Size,trousers,549,999,45%,"38, 36, 26, 30, 28, 34, 32",3.3,249
HERE&NOW,Plus Size,tops,420,1399,70%,"XS, S, M, L, XL, XXL",3.1,233
Ishin,Indian Wear,sarees,2369,3949,40%,Onesize,3.2,179
Sangria,Plus Size,trousers,549,999,45%,"26, 28, 30, 32, 34, 36, 38",3.2,179
Ishin,Indian Wear,sarees,550,1099,50%,Onesize,3.3,177
KALINI,Indian Wear,sarees,640,3999,84%,Onesize,3.1,133
Boston Club,Sports Wear,track-pants,699,999,30%,"S, M, L, XL, XXL",3.3,132
Nike,Sports Wear,tights,1348,2995,55%,"XS, S, M, L, XL",3.3,126
Austin wood,Sports Wear,track-pants,464,1599,71%,"S, M, L, XL, XXL, 3XL",3.3,125
HERE&NOW,Plus Size,tops,360,1199,70%,"XS, S, M, L, XL, XXL",3.3,124
Anouk,Indian Wear,kurta-sets,850,1699,50%,"XS, S, M, L, XL, XXL",3.3,123
Ira Soleil,Indian Wear,skirts,1350,2699,50%,"28, 30, 32, 34",3.1,104
Jompers,Indian Wear,palazzos,450,899,50%,"28, 30, 32, 34, 36",3.3,98
plusS,Plus Size,tops,684,1799,62%,"S, M, L, XL, XXL, 3XL, 4XL",3.1,98
HERE&NOW,Plus Size,kurta-sets,720,1799,60%,"XS, S, M, L, XL, XXL",3.3,96
Cultsport,Sports Wear,tights,1150,2299,50%,"XS, S, M, L, XL, XXL",4.8,96
Ahalyaa,Indian Wear,kurtas,750,1000,25%,"S, M, L, XL, XXL",3.1,90
KALINI,Indian Wear,sarees,507,1949,74%,Onesize,2.8,85
Myshka,Indian Wear,dresses,700,1999,65%,"S, M, L, XL, XXL",3.2,85
HERE&NOW,Plus Size,jeans,720,2399,70%,"26, 28, 30, 32, 34, 36",3.3,74
Libas,Indian Wear,dresses,760,1899,60%,"XS, S, M, L, XL, XXL",3.3,73
Ishin,Indian Wear,sarees,987,1899,48%,Onesize,3.1,70
Anouk,Indian Wear,kurta-sets,675,2699,75%,"XS, S, M, L, XL, XXL",3.2,70
Ishin,Indian Wear,kurtas,1260,3149,60%,"S, M, L, XL, XXL",3.1,70
Cultsport,Sports Wear,tights,1150,2299,50%,"XS, S, M, L, XL, XXL",4.8,96
Shae by SASSAFRAS,Indian Wear,skirts,1150,2299,50%,"26, 28, 30, 32, 34, 36",4.8,61
Cultsport,Sports Wear,tights,1319,2399,45%,"XS, S, M, L, XL, XXL",4.8,61
ADIDAS,Sports Wear,tshirts,800,1999,60%,"XS, S, M, L, XL",4.8,59
HRX by Hrithik Roshan,Sports Wear,tshirts,1035,2299,55%,"XS, S, M, L, XL",4.8,59
Sangria,Plus Size,kurtas,625,2499,75%,"XS, S, M, L, XL",4.8,53
HRX by Hrithik Roshan,Sports Wear,tshirts,720,1799,60%,"XS, S, M, L, XL",4.8,51
