BrandName,Category,Individual_category,Description,discount_price,original_price,discount,SizeOption,ratings,reviews
Globus,Bottom Wear,trousers,globus men black pure cotton regular fit solid trousers,749,1499,50%,"30, 32, 34, 36, 38",2.3,12
Urban Ranger by pantaloons,Bottom Wear,trousers,urban ranger by pantaloons men off white slim fit joggers trousers,786,1049,25%,"30, 32, 34, 36, 38",2.3,10
Roadster,Inner Wear &  Sleep Wear,trunk,the roadster lifestyle co men black solid anti microbial trunk rd3684 1pp trn blk,239,399,40%,"S, M, L, XL",2.3,10
SPYKAR,Bottom Wear,jeans,spykar men blue super skinny fit low rise clean look jeans,1949,3899,50%,"28, 30, 36, 38",2.3,6
Mufti,Bottom Wear,jeans,mufti men blue jogger heavy fade jeans,2449,3499,30%,"28, 30, 32, 34, 36, 38, 40",2.3,6
SPYKAR,Bottom Wear,jeans,spykar men black rover slim fit low rise clean look jeans,1231,2799,56%,"28, 30, 32, 34, 36",2.3,6
HERE&NOW,Bottom Wear,jeans,herenow men blue skinny fit mid rise heavy fade clean look jeans,719,2399,70%,"28, 30, 32, 34, 36",2.3,6
Campus Sutra,Bottom Wear,track-pants,campus sutra men black striped joggers,749,1499,50%,"M, L, XL",2.3,6
Lee,Bottom Wear,jeans,lee men blue slim fit light fade stretchable jeans,2159,3599,40%,"28, 30, 32, 34, 36, 38, 40, 42",2.3,4
Park Avenue,Bottom Wear,trousers,park avenue men blue regular fit solid regular trousers,1319,3299,60%,"28, 30, 32, 34, 36, 38, 40, 42, 44",2.3,4
Hangup,Bottom Wear,trousers,hangup men green regular fit solid formal trousers,774,2499,69%,"30, 32, 34, 36, 38, 40, 42",2.3,4
Peter England Casuals,Bottom Wear,trousers,peter england casuals men black slim fit solid regular trousers,1264,2299,45%,"28, 30, 32, 34, 36, 38, 40",2.3,4
Hangup,Indian Wear,blazers,hangup men black regular fit single breasted velvet ethnic bandhgala blazer,1919,5999,68%,"36, 38, 40, 42, 44, 46",2.5,178
